timestamp,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2010-01-04T00:00:00Z,1.1499473402,1.1499507311,1.1495626287,1.1495916127,1.1500526598,1.1500560506,1.1496679482,1.1496969322,9678855.5288772918,1
2010-01-04T01:00:00Z,1.1495835583,1.1501559186,1.1493691740,1.1498697442,1.1497049865,1.1502773469,1.1494906023,1.1499911724,5897099.4317294266,1
2010-01-04T02:00:00Z,1.1498734789,1.1498992724,1.1493129325,1.1494537265,1.1499874377,1.1500132312,1.1494268913,1.1495676853,12737684.2472739592,1
2010-01-04T03:00:00Z,1.1494541548,1.1499188360,1.1494092323,1.1498507261,1.1495672571,1.1500319383,1.1495223346,1.1499638284,5035594.7728745528,1
2010-01-04T04:00:00Z,1.1498476647,1.1506401036,1.1495053691,1.1504542475,1.1499668899,1.1507593288,1.1496245943,1.1505734727,5700031.6238037683,1
2010-01-04T05:00:00Z,1.1504564849,1.1505924269,1.1502988276,1.1503372234,1.1505712353,1.1507071772,1.1504135780,1.1504519737,4557807.8303972865,1
2010-01-04T06:00:00Z,1.1503382966,1.1503768943,1.1501056731,1.1501793965,1.1504509005,1.1504894982,1.1502182770,1.1502920004,7457045.1886117253,1
2010-01-04T07:00:00Z,1.1501756200,1.1504842902,1.1501303845,1.1504062231,1.1502957769,1.1506044472,1.1502505415,1.1505263801,12094430.3212033883,1
2010-01-04T08:00:00Z,1.1504103094,1.1505210440,1.1500740018,1.1502356930,1.1505222937,1.1506330283,1.1501859861,1.1503476773,6321243.3519822713,1
2010-01-04T09:00:00Z,1.1502325568,1.1509458441,1.1500033952,1.1504840982,1.1503508135,1.1510641008,1.1501216519,1.1506023549,5131303.4134968901,1
2010-01-04T10:00:00Z,1.1504807211,1.1510435134,1.1504407904,1.1510261381,1.1506057321,1.1511685244,1.1505658014,1.1511511491,9428916.2540281322,1
2010-01-04T11:00:00Z,1.1510292522,1.1510513341,1.1509104959,1.1509150843,1.1511480349,1.1511701169,1.1510292786,1.1510338670,5084671.5130396467,1
2010-01-04T12:00:00Z,1.1509114202,1.1511540020,1.1497641164,1.1503366074,1.1510375311,1.1512801129,1.1498902274,1.1504627184,11465920.0760098267,1
2010-01-04T13:00:00Z,1.1503341827,1.1506367688,1.1489749441,1.1493663751,1.1504651432,1.1507677292,1.1491059046,1.1494973356,7270552.8785850555,1
2010-01-04T14:00:00Z,1.1493707730,1.1493953236,1.1492327188,1.1492555769,1.1494929377,1.1495174883,1.1493548836,1.1493777417,11181442.2281608898,1
2010-01-04T15:00:00Z,1.1492555046,1.1496289657,1.1486972081,1.1488706268,1.1493778139,1.1497512750,1.1488195174,1.1489929361,5876278.0408540918,1
2010-01-04T16:00:00Z,1.1488700961,1.1489574915,1.1487948601,1.1488669868,1.1489934668,1.1490808621,1.1489182307,1.1489903575,11215896.3142454010,1
2010-01-04T17:00:00Z,1.1488658274,1.1496347726,1.1481166713,1.1487397763,1.1489915169,1.1497604621,1.1482423608,1.1488654658,6425621.4386372827,1
2010-01-04T18:00:00Z,1.1487400339,1.1491641775,1.1486146741,1.1488948872,1.1488652082,1.1492893518,1.1487398484,1.1490200616,6878808.1572734090,1
2010-01-04T19:00:00Z,1.1488980930,1.1492671521,1.1481809421,1.1484391318,1.1490168558,1.1493859150,1.1482997049,1.1485578947,9746472.5255287439,1
2010-01-04T20:00:00Z,1.1484400144,1.1493305265,1.1480931898,1.1489945011,1.1485570121,1.1494475242,1.1482101875,1.1491114988,12029901.2077481691,1
2010-01-04T21:00:00Z,1.1489895928,1.1490089874,1.1488414946,1.1488563593,1.1491164072,1.1491358018,1.1489683090,1.1489831737,11636384.5252862293,1
2010-01-04T22:00:00Z,1.1488609881,1.1490540837,1.1481803399,1.1483650723,1.1489785450,1.1491716406,1.1482978968,1.1484826292,10553212.7261020262,1
2010-01-04T23:00:00Z,1.1483615104,1.1493196048,1.1477516349,1.1489304161,1.1484861911,1.1494442854,1.1478763156,1.1490550967,5923312.4300814075,1
2010-01-05T00:00:00Z,1.1489325104,1.1511474101,1.1479089031,1.1499659907,1.1490530024,1.1512679021,1.1480293951,1.1500864827,8098990.9216035334,1
2010-01-05T01:00:00Z,1.1499682499,1.1505592508,1.1497675404,1.1502456874,1.1500842235,1.1506752244,1.1498835140,1.1503616610,4655634.3868885031,1
2010-01-05T02:00:00Z,1.1502420889,1.1510286100,1.1501906142,1.1509858204,1.1503652595,1.1511517806,1.1503137848,1.1511089909,10934673.0322020892,1
2010-01-05T03:00:00Z,1.1509841265,1.1511855212,1.1503978472,1.1505625545,1.1511106848,1.1513120795,1.1505244055,1.1506891128,8952120.6751641296,1
2010-01-05T04:00:00Z,1.1505624665,1.1516928477,1.1502814628,1.1515106229,1.1506892009,1.1518195821,1.1504081973,1.1516373573,3960061.9732786510,1
